angle	ws (m/s)	Freq
147	15	4.78597E-05
147	16	2.79945E-05
147	17	1.54706E-05
147	18	8.07476E-06
147	19	3.97902E-06
147	20	1.85039E-06
147	21	8.11699E-07
147	22	3.3571E-07
147	23	1.30846E-07
147	24	4.80365E-08
147	25	1.66026E-08
150	4	0.000360733
150	5	0.000423345
150	6	0.000453891
150	7	0.000450975
150	8	0.000418538
150	9	0.000364514
150	10	0.000298743
150	11	0.000230788
150	12	0.00016822
150	13	0.000115747
150	14	7.51959E-05
150	15	4.6123E-05
150	16	2.67057E-05
150	17	1.45925E-05
150	18	7.52213E-06
150	19	3.6564E-06
150	20	1.67522E-06
150	21	7.23073E-07
150	22	2.93879E-07
150	23	1.12411E-07
150	24	4.04453E-08
150	25	1.36811E-08
153	4	0.000362428
153	5	0.000425469
153	6	0.000456341
153	7	0.000453614
153	8	0.000421207
153	9	0.000367059
153	10	0.000301033
153	11	0.000232734
153	12	0.000169782
153	13	0.00011693
153	14	7.60414E-05
153	15	4.66929E-05
153	16	2.70679E-05
153	17	1.48094E-05
153	18	7.64436E-06
153	19	3.72124E-06
153	20	1.70758E-06
153	21	7.38255E-07
153	22	3.00573E-07
153	23	1.15182E-07
153	24	4.15227E-08
153	25	1.40741E-08
156	4	0.000362456
156	5	0.000425885
156	6	0.000457568
156	7	0.000455982
156	8	0.000424835
156	9	0.000371794
156	10	0.000306494
156	11	0.000238407
156	12	0.000175158
156	13	0.000121616
156	14	7.9817E-05
156	15	4.95167E-05
156	16	2.90333E-05
156	17	1.60849E-05
156	18	8.41744E-06
156	19	4.1592E-06
156	20	1.93965E-06
156	21	8.53343E-07
156	22	3.54001E-07
156	23	1.38406E-07
156	24	5.09746E-08
156	25	1.76761E-08
159	4	0.000361553
159	5	0.000425513
159	6	0.000458528
159	7	0.000458927
159	8	0.000430047
159	9	0.000379087
159	10	0.000315255
159	11	0.000247772
159	12	0.000184234
159	13	0.000129681
159	14	8.64353E-05
159	15	5.45561E-05
159	16	3.26058E-05
159	17	1.84483E-05
159	18	9.87894E-06
159	19	5.00503E-06
159	20	2.39819E-06
159	21	1.08633E-06
159	22	4.65E-07
159	23	1.88004E-07
159	24	7.17633E-08
159	25	2.585E-08
162	4	0.000360422
162	5	0.000425213
162	6	0.000460096
162	7	0.000463195
162	8	0.000437368
162	9	0.000389207
162	10	0.000327375
162	11	0.000260758
162	12	0.000196902
162	13	0.000141048
162	14	9.58833E-05
162	15	6.18631E-05
162	16	3.78809E-05
162	17	2.20115E-05
162	18	1.21345E-05
162	19	6.34475E-06
162	20	3.14549E-06
162	21	1.47805E-06
162	22	6.58037E-07
162	23	2.77461E-07
162	24	1.10755E-07
162	25	4.18371E-08
